lon,lat,locations
24.623326464534358,59.4251781254747,Haabersti linnaosa
24.623326464534358,59.4251781254747,Haabersti linnaosa
24.623326464534358,59.4251781254747,Haabersti linnaosa
24.764737777605827,59.429887212166,Haabersti linnaosa
24.623326464534358,59.4251781254747,Haabersti linnaosa
24.711208697188056,59.41510303306298,Haabersti linnaosa
24.623326464534358,59.4251781254747,Haabersti linnaosa
24.851802926400804,59.433879642781065,Haabersti linnaosa
24.623326464534358,59.4251781254747,Haabersti linnaosa
24.676419212080788,59.403182723976336,Haabersti linnaosa
24.623326464534358,59.4251781254747,Haabersti linnaosa
24.683677768538992,59.37447290080705,Haabersti linnaosa
24.623326464534358,59.4251781254747,Haabersti linnaosa
24.83963084424269,59.383614336292794,Haabersti linnaosa
24.623326464534358,59.4251781254747,Haabersti linnaosa
24.862741687041055,59.472156284349694,Haabersti linnaosa
24.623326464534358,59.4251781254747,Haabersti linnaosa
24.702327035537397,59.45354976075277,Haabersti linnaosa
24.764737777605827,59.429887212166,Kesklinna linnaosa
24.623326464534358,59.4251781254747,Kesklinna linnaosa
24.764737777605827,59.429887212166,Kesklinna linnaosa
24.764737777605827,59.429887212166,Kesklinna linnaosa
24.764737777605827,59.429887212166,Kesklinna linnaosa
24.711208697188056,59.41510303306298,Kesklinna linnaosa
24.764737777605827,59.429887212166,Kesklinna linnaosa
24.851802926400804,59.433879642781065,Kesklinna linnaosa
24.764737777605827,59.429887212166,Kesklinna linnaosa
24.676419212080788,59.403182723976336,Kesklinna linnaosa
24.764737777605827,59.429887212166,Kesklinna linnaosa
24.683677768538992,59.37447290080705,Kesklinna linnaosa
24.764737777605827,59.429887212166,Kesklinna linnaosa
24.83963084424269,59.383614336292794,Kesklinna linnaosa
24.764737777605827,59.429887212166,Kesklinna linnaosa
24.862741687041055,59.472156284349694,Kesklinna linnaosa
24.764737777605827,59.429887212166,Kesklinna linnaosa
24.702327035537397,59.45354976075277,Kesklinna linnaosa
24.711208697188056,59.41510303306298,Kristiine linnaosa
24.623326464534358,59.4251781254747,Kristiine linnaosa
24.711208697188056,59.41510303306298,Kristiine linnaosa
24.764737777605827,59.429887212166,Kristiine linnaosa
24.711208697188056,59.41510303306298,Kristiine linnaosa
24.711208697188056,59.41510303306298,Kristiine linnaosa
24.711208697188056,59.41510303306298,Kristiine linnaosa
24.851802926400804,59.433879642781065,Kristiine linnaosa
24.711208697188056,59.41510303306298,Kristiine linnaosa
24.676419212080788,59.403182723976336,Kristiine linnaosa
24.711208697188056,59.41510303306298,Kristiine linnaosa
24.683677768538992,59.37447290080705,Kristiine linnaosa
24.711208697188056,59.41510303306298,Kristiine linnaosa
24.83963084424269,59.383614336292794,Kristiine linnaosa
24.711208697188056,59.41510303306298,Kristiine linnaosa
24.862741687041055,59.472156284349694,Kristiine linnaosa
24.711208697188056,59.41510303306298,Kristiine linnaosa
24.702327035537397,59.45354976075277,Kristiine linnaosa
24.851802926400804,59.433879642781065,Lasnamäe linnaosa
24.623326464534358,59.4251781254747,Lasnamäe linnaosa
24.851802926400804,59.433879642781065,Lasnamäe linnaosa
24.764737777605827,59.429887212166,Lasnamäe linnaosa
24.851802926400804,59.433879642781065,Lasnamäe linnaosa
24.711208697188056,59.41510303306298,Lasnamäe linnaosa
24.851802926400804,59.433879642781065,Lasnamäe linnaosa
24.851802926400804,59.433879642781065,Lasnamäe linnaosa
24.851802926400804,59.433879642781065,Lasnamäe linnaosa
24.676419212080788,59.403182723976336,Lasnamäe linnaosa
24.851802926400804,59.433879642781065,Lasnamäe linnaosa
24.683677768538992,59.37447290080705,Lasnamäe linnaosa
24.851802926400804,59.433879642781065,Lasnamäe linnaosa
24.83963084424269,59.383614336292794,Lasnamäe linnaosa
24.851802926400804,59.433879642781065,Lasnamäe linnaosa
24.862741687041055,59.472156284349694,Lasnamäe linnaosa
24.851802926400804,59.433879642781065,Lasnamäe linnaosa
24.702327035537397,59.45354976075277,Lasnamäe linnaosa
24.676419212080788,59.403182723976336,Mustamäe linnaosa
24.623326464534358,59.4251781254747,Mustamäe linnaosa
24.676419212080788,59.403182723976336,Mustamäe linnaosa
24.764737777605827,59.429887212166,Mustamäe linnaosa
24.676419212080788,59.403182723976336,Mustamäe linnaosa
24.711208697188056,59.41510303306298,Mustamäe linnaosa
24.676419212080788,59.403182723976336,Mustamäe linnaosa
24.851802926400804,59.433879642781065,Mustamäe linnaosa
24.676419212080788,59.403182723976336,Mustamäe linnaosa
24.676419212080788,59.403182723976336,Mustamäe linnaosa
24.676419212080788,59.403182723976336,Mustamäe linnaosa
24.683677768538992,59.37447290080705,Mustamäe linnaosa
24.676419212080788,59.403182723976336,Mustamäe linnaosa
24.83963084424269,59.383614336292794,Mustamäe linnaosa
24.676419212080788,59.403182723976336,Mustamäe linnaosa
24.862741687041055,59.472156284349694,Mustamäe linnaosa
24.676419212080788,59.403182723976336,Mustamäe linnaosa
24.702327035537397,59.45354976075277,Mustamäe linnaosa
24.683677768538992,59.37447290080705,Nõmme linnaosa
24.623326464534358,59.4251781254747,Nõmme linnaosa
24.683677768538992,59.37447290080705,Nõmme linnaosa
24.764737777605827,59.429887212166,Nõmme linnaosa
24.683677768538992,59.37447290080705,Nõmme linnaosa
24.711208697188056,59.41510303306298,Nõmme linnaosa
24.683677768538992,59.37447290080705,Nõmme linnaosa
24.851802926400804,59.433879642781065,Nõmme linnaosa
24.683677768538992,59.37447290080705,Nõmme linnaosa
24.676419212080788,59.403182723976336,Nõmme linnaosa
24.683677768538992,59.37447290080705,Nõmme linnaosa
