lon,lat,locations
26.718024583611232,58.327738551112965,Aakre Valga
26.718024583611232,58.327738551112965,Aakre Valga
26.718024583611232,58.327738551112965,Aakre Valga
26.72850527915207,58.370075672253435,Aakre Valga
26.718024583611232,58.327738551112965,Aakre Valga
26.699604189177126,58.28722300008758,Aakre Valga
26.718024583611232,58.327738551112965,Aakre Valga
26.65222358771177,58.35337229697161,Aakre Valga
26.718024583611232,58.327738551112965,Aakre Valga
26.631873888378884,58.3209064235051,Aakre Valga
24.05636508282533,58.80066899046507,Aardla Tartu
23.973607448828442,58.857696277972224,Aardla Tartu
24.05636508282533,58.80066899046507,Aardla Tartu
24.05636508282533,58.80066899046507,Aardla Tartu
24.05636508282533,58.80066899046507,Aardla Tartu
24.10875427930128,58.85651922660488,Aardla Tartu
24.05636508282533,58.80066899046507,Aardla Tartu
24.070239388592714,58.91839052180687,Aardla Tartu
24.05636508282533,58.80066899046507,Aardla Tartu
23.539598577521925,58.934012623242815,Aardla Tartu
26.15481018618797,57.930509236870066,Aarna Põlva
26.15481018618797,57.930509236870066,Aarna Põlva
26.15481018618797,57.930509236870066,Aarna Põlva
26.070770430317978,57.77847672570749,Aarna Põlva
26.15481018618797,57.930509236870066,Aarna Põlva
26.171361483793916,57.98001546876285,Aarna Põlva
26.15481018618797,57.930509236870066,Aarna Põlva
26.243876347958526,58.002898538142375,Aarna Põlva
26.15481018618797,57.930509236870066,Aarna Põlva
26.171877962129614,57.868530476509775,Aarna Põlva
25.51307498257465,58.20810111857772,Aaspere Lääne-Viru
25.51307498257465,58.20810111857772,Aaspere Lääne-Viru
25.51307498257465,58.20810111857772,Aaspere Lääne-Viru
25.403032443153872,58.1727334794704,Aaspere Lääne-Viru
25.51307498257465,58.20810111857772,Aaspere Lääne-Viru
25.591268434882977,58.3599361623305,Aaspere Lääne-Viru
25.51307498257465,58.20810111857772,Aaspere Lääne-Viru
25.53071960898032,58.143063347825496,Aaspere Lääne-Viru
25.51307498257465,58.20810111857772,Aaspere Lääne-Viru
25.615920421060583,58.25352779954945,Aaspere Lääne-Viru
24.511392121818016,59.240014040127974,Abja Viljandi
24.511392121818016,59.240014040127974,Abja Viljandi
24.511392121818016,59.240014040127974,Abja Viljandi
24.764737777605827,59.429887212165966,Abja Viljandi
24.511392121818016,59.240014040127974,Abja Viljandi
24.508141200363163,59.30493864719925,Abja Viljandi
24.511392121818016,59.240014040127974,Abja Viljandi
24.393202301001427,59.31182579160131,Abja Viljandi
24.511392121818016,59.240014040127974,Abja Viljandi
24.386432816842266,59.19796340183669,Abja Viljandi
25.32507110669616,58.840548648054,Abja-Paluoja linn
25.418952915094557,58.808240910861635,Abja-Paluoja linn
25.32507110669616,58.840548648054,Abja-Paluoja linn
25.42495026393062,58.813231894516306,Abja-Paluoja linn
25.32507110669616,58.840548648054,Abja-Paluoja linn
25.259488372527223,58.77843369048387,Abja-Paluoja linn
25.32507110669616,58.840548648054,Abja-Paluoja linn
25.556374598432086,58.884989244248985,Abja-Paluoja linn
25.32507110669616,58.840548648054,Abja-Paluoja linn
25.451520601776163,58.89770372899856,Abja-Paluoja linn
26.68603935627243,58.52934374196609,Abruka Saare
26.68603935627243,58.52934374196609,Abruka Saare
26.68603935627243,58.52934374196609,Abruka Saare
26.72850527915207,58.370075672253435,Abruka Saare
26.68603935627243,58.52934374196609,Adavere Jõgeva
26.679829065310788,58.48572740977617,Adavere Jõgeva
26.68603935627243,58.52934374196609,Adavere Jõgeva
26.59922814772472,58.545601599829006,Adavere Jõgeva
26.68603935627243,58.52934374196609,Adavere Jõgeva
26.56806476752797,58.49494421818667,Adavere Jõgeva
24.91202367771498,59.476559072194185,Adavere Jõgeva
24.973585999612812,59.46525417275005,Adavere Jõgeva
24.91202367771498,59.476559072194185,Adavere Jõgeva
24.764737777605827,59.429887212165966,Adavere Jõgeva
24.91202367771498,59.476559072194185,Adila-Pihali Rapla
24.862741687041055,59.47215628434966,Adila-Pihali Rapla
24.91202367771498,59.476559072194185,Adila-Pihali Rapla
24.851802926400804,59.43387964278103,Adila-Pihali Rapla
24.91202367771498,59.476559072194185,Adila-Pihali Rapla
24.91202367771498,59.476559072194185,Adila-Pihali Rapla
27.56055844517064,58.064943268495675,Adila-Pihali Rapla
27.52575579579825,57.99592132999126,Adila-Pihali Rapla
27.56055844517064,58.064943268495675,Adila-Pihali Rapla
27.458557699809173,58.09982135267086,Adila-Pihali Rapla
27.56055844517064,58.064943268495675,Aegviidu alev
27.459285935446367,58.08061398624331,Aegviidu alev
27.56055844517064,58.064943268495675,Aegviidu alev
27.56055844517064,58.064943268495675,Aegviidu alev
27.56055844517064,58.064943268495675,Aegviidu alev
27.628814373182962,57.94934175408899,Aegviidu alev
27.535305074746496,58.0816402586074,Aegviidu alev
27.458557699809173,58.09982135267086,Aegviidu alev
27.535305074746496,58.0816402586074,Aegviidu alev
27.459285935446367,58.08061398624331,Aegviidu alev
27.535305074746496,58.0816402586074,Ahja Põlva
27.40534877250089,58.16429928049451,Ahja Põlva
27.535305074746496,58.0816402586074,Ahja Põlva
27.535305074746496,58.0816402586074,Ahja Põlva
27.535305074746496,58.0816402586074,Ahja Põlva
27.07080399839404,58.0601590107706,Ahja Põlva
27.132346986752562,58.36496130920997,Ahja Põlva
26.72850527915207,58.370075672253435,Ahja Põlva
27.132346986752562,58.36496130920997,Ahja Põlva
27.068731602941238,58.39880593070774,Ahja Põlva
27.132346986752562,58.36496130920997,Ahula Järva
27.132346986752562,58.36496130920997,Ahula Järva
27.132346986752562,58.36496130920997,Ahula Järva
26.975224057727132,58.32727433598337,Ahula Järva
27.132346986752562,58.36496130920997,Ahula Järva
26.933396514665194,58.400915011954915,Ahula Järva
26.85613905826395,58.86651146010723,Ahula Järva
26.83315153101763,58.91608174140054,Ahula Järva
26.85613905826395,58.86651146010723,Ahula Järva
26.884283717127012,59.004864454822965,Ahula Järva
26.85613905826395,58.86651146010723,Ahunapalu Tartu
26.936174480169672,58.84794506602211,Ahunapalu Tartu
26.85613905826395,58.86651146010723,Ahunapalu Tartu
26.85613905826395,58.86651146010723,Ahunapalu Tartu
26.85613905826395,58.86651146010723,Ahunapalu Tartu
26.780099696396636,58.95269397691551,Ahunapalu Tartu
25.955744544962673,59.5726590897423,Ahunapalu Tartu
25.955744544962673,59.5726590897423,Ahunapalu Tartu
25.955744544962673,59.5726590897423,Ahunapalu Tartu
25.89158100943398,59.60172132568641,Ahunapalu Tartu
25.955744544962673,59.5726590897423,Aidu Ida-Viru
26.36288651637517,59.34530231407201,Aidu Ida-Viru
25.955744544962673,59.5726590897423,Aidu Ida-Viru
24.764737777605827,59.429887212165966,Aidu Ida-Viru
25.955744544962673,59.5726590897423,Aidu Ida-Viru
24.7023270355374,59.45354976075274,Aidu Ida-Viru
27.01015218097427,57.844456496031384,Aidu Ida-Viru
27.00459119219235,57.838429123367085,Aidu Ida-Viru
27.01015218097427,57.844456496031384,Aidu Ida-Viru
27.01015218097427,57.844456496031384,Aidu Ida-Viru
27.01015218097427,57.844456496031384,Aidu Jõgeva
26.953564362467187,57.80087146250107,Aidu Jõgeva
27.01015218097427,57.844456496031384,Aidu Jõgeva
26.983255033655542,57.901635146040434,Aidu Jõgeva
27.01015218097427,57.844456496031384,Aidu Jõgeva
27.105228821152416,57.872039774337765,Aidu Jõgeva
27.00459119219235,57.838429123367085,Aidu Jõgeva
27.00459119219235,57.838429123367085,Aidu Jõgeva
27.00459119219235,57.838429123367085,Aidu Jõgeva
27.01015218097427,57.844456496031384,Aidu Jõgeva
27.00459119219235,57.838429123367085,Alajõe Ida-Viru
26.983255033655542,57.901635146040434,Alajõe Ida-Viru
27.00459119219235,57.838429123367085,Alajõe Ida-Viru
26.953564362467187,57.80087146250107,Alajõe Ida-Viru
27.00459119219235,57.838429123367085,Alajõe Ida-Viru
27.087850911971945,57.79307441365482,Alajõe Ida-Viru
27.174840701569916,59.299065010727645,Alajõe Ida-Viru
27.218591888339457,59.280091543484765,Alajõe Ida-Viru
27.174840701569916,59.299065010727645,Alajõe Ida-Viru
27.232610821500153,59.188215034959015,Alajõe Ida-Viru
27.174840701569916,59.299065010727645,Alatskivi Tartu
27.19314198540193,59.35696230286169,Alatskivi Tartu
27.174840701569916,59.299065010727645,Alatskivi Tartu
27.421005848908653,59.35835495264797,Alatskivi Tartu
27.174840701569916,59.299065010727645,Alatskivi Tartu
27.174840701569916,59.299065010727645,Alatskivi Tartu
27.08897715071923,58.28100255488829,Alatskivi Tartu
27.08897715071923,58.28100255488829,Alatskivi Tartu
27.08897715071923,58.28100255488829,Alatskivi Tartu
26.72850527915207,58.370075672253435,Alatskivi Tartu
27.08897715071923,58.28100255488829,Alavere Harju
27.06204057027651,58.20543953768208,Alavere Harju
27.08897715071923,58.28100255488829,Alavere Harju
26.975224057727132,58.32727433598337,Alavere Harju
27.08897715071923,58.28100255488829,Alavere Harju
26.895224377269468,58.293429005579505,Alavere Harju
23.665359417114267,58.91671564690974,Alavere Harju
23.610222062006468,58.948452756191124,Alavere Harju
23.665359417114267,58.91671564690974,Alavere Harju
23.539598577521925,58.934012623242815,Alavere Harju
23.665359417114267,58.91671564690974,Albu Järva
23.78191368314257,58.947211540931626,Albu Järva
23.665359417114267,58.91671564690974,Albu Järva
23.691846189922213,59.020199864687484,Albu Järva
23.665359417114267,58.91671564690974,Albu Järva
23.665359417114267,58.91671564690974,Albu Järva
24.511346157001373,58.20476028694913,Albu Järva
24.511346157001373,58.20476028694913,Albu Järva
24.511346157001373,58.20476028694913,Albu Järva
24.52591153933744,58.38388988048857,Albu Järva
24.511346157001373,58.20476028694913,Alu Rapla
24.592190727753568,58.28295869403351,Alu Rapla
24.511346157001373,58.20476028694913,Alu Rapla
24.57342050922744,58.1993298934438,Alu Rapla
24.511346157001373,58.20476028694913,Alu Rapla
24.54327857964517,58.11330198008605,Alu Rapla
25.923418428762723,58.61378154922862,Alu Rapla
25.836993309795186,58.64234565945448,Alu Rapla
25.923418428762723,58.61378154922862,Alu Rapla
25.923418428762723,58.61378154922862,Alu Rapla
25.923418428762723,58.61378154922862,Ambla Järva
25.976191090825704,58.652990419526695,Ambla Järva
25.923418428762723,58.61378154922862,Ambla Järva
25.979590126828594,58.66594658270674,Ambla Järva
25.923418428762723,58.61378154922862,Ambla Järva
25.74116865736587,58.60419160854356,Ambla Järva
25.554004135198813,58.630533431955065,Ambla Järva
25.554004135198813,58.630533431955065,Ambla Järva
25.554004135198813,58.630533431955065,Ambla Järva
25.427219125662432,58.65451921981096,Ambla Järva
25.554004135198813,58.630533431955065,Andineeme Harju
25.521001229663828,58.58818479435202,Andineeme Harju
25.554004135198813,58.630533431955065,Andineeme Harju
25.620623238322803,58.60788779032766,Andineeme Harju
25.554004135198813,58.630533431955065,Andineeme Harju
25.591268434882977,58.3599361623305,Andineeme Harju
22.38945998079034,58.52334537730059,Andineeme Harju
22.38945998079034,58.52334537730059,Andineeme Harju
22.38945998079034,58.52334537730059,Andineeme Harju
22.49008680040241,58.24875649289655,Andineeme Harju
22.38945998079034,58.52334537730059,Anija Harju
22.54744953874481,58.56608201784641,Anija Harju
22.38945998079034,58.52334537730059,Anija Harju
22.262090486635067,58.45715155401126,Anija Harju
22.38945998079034,58.52334537730059,Anija Harju
22.456994533153896,58.268507631025614,Anija Harju
25.868561262726555,59.52090265993261,Anija Harju
25.974012779060363,59.503998926497076,Anija Harju
25.868561262726555,59.52090265993261,Anija Harju
25.868561262726555,59.52090265993261,Anija Harju
25.868561262726555,59.52090265993261,Anna Järva
25.955744544962673,59.5726590897423,Anna Järva
25.868561262726555,59.52090265993261,Anna Järva
25.716949188885287,59.578240343553716,Anna Järva
25.868561262726555,59.52090265993261,Anna Järva
25.721321207744644,59.540183631669095,Anna Järva
25.451520601776163,58.89770372899856,Anna Järva
25.451520601776163,58.89770372899856,Anna Järva
25.451520601776163,58.89770372899856,Anna Järva
25.556374598432086,58.884989244248985,Anna Järva
25.451520601776163,58.89770372899856,Annikoru Tartu
25.418952915094557,58.808240910861635,Annikoru Tartu
25.451520601776163,58.89770372899856,Annikoru Tartu
25.454257028417597,58.85024463454622,Annikoru Tartu
25.451520601776163,58.89770372899856,Annikoru Tartu
25.541474830727882,58.912272852536816,Annikoru Tartu
24.369802226580696,59.42793294332934,Annikoru Tartu
24.369802226580696,59.42793294332934,Annikoru Tartu
24.369802226580696,59.42793294332934,Annikoru Tartu
24.764737777605827,59.429887212165966,Annikoru Tartu
24.369802226580696,59.42793294332934,Annikvere Lääne-Viru
24.676419212080784,59.4031827239763,Annikvere Lääne-Viru
24.369802226580696,59.42793294332934,Annikvere Lääne-Viru
24.415341206064063,59.4584665883175,Annikvere Lääne-Viru
24.369802226580696,59.42793294332934,Annikvere Lääne-Viru
24.623326464534355,59.42517812547466,Annikvere Lääne-Viru
24.42039240704041,59.39257672192377,Annikvere Lääne-Viru
24.42039240704041,59.39257672192377,Annikvere Lääne-Viru
24.42039240704041,59.39257672192377,Annikvere Lääne-Viru
24.764737777605827,59.429887212165966,Annikvere Lääne-Viru
24.42039240704041,59.39257672192377,Anseküla Saare
24.497839539370542,59.42764019857169,Anseküla Saare
24.42039240704041,59.39257672192377,Anseküla Saare
24.623326464534355,59.42517812547466,Anseküla Saare
24.42039240704041,59.39257672192377,Anseküla Saare
24.369802226580696,59.42793294332934,Anseküla Saare
22.69329990239514,58.24156595108893,Anseküla Saare
22.69329990239514,58.24156595108893,Anseküla Saare
22.69329990239514,58.24156595108893,Anseküla Saare
22.49008680040241,58.24875649289655,Anseküla Saare
22.69329990239514,58.24156595108893,Antsla linn
22.456994533153896,58.268507631025614,Antsla linn
22.69329990239514,58.24156595108893,Antsla linn
22.702743993644017,58.30468471687061,Antsla linn
22.69329990239514,58.24156595108893,Antsla linn
22.594221574743603,58.25195212370275,Antsla linn
27.628814373182962,57.94934175408899,Antsla linn
27.628814373182962,57.94934175408899,Antsla linn
27.628814373182962,57.94934175408899,Antsla linn
27.52575579579825,57.99592132999126,Antsla linn
27.628814373182962,57.94934175408899,Antsla ümbrus Võru
26.72850527915207,58.370075672253435,Antsla ümbrus Võru
27.628814373182962,57.94934175408899,Antsla ümbrus Võru
27.72095907734915,57.87039891019749,Antsla ümbrus Võru
27.628814373182962,57.94934175408899,Antsla ümbrus Võru
27.58891424494925,57.86948360044804,Antsla ümbrus Võru
25.036461823173482,58.65442493970679,Antsla ümbrus Võru
25.036461823173482,58.65442493970679,Antsla ümbrus Võru
25.036461823173482,58.65442493970679,Antsla ümbrus Võru
25.029561172991777,58.659396308282396,Antsla ümbrus Võru
25.036461823173482,58.65442493970679,Aravete Järva
24.934395052622314,58.61225561273249,Aravete Järva
25.036461823173482,58.65442493970679,Aravete Järva
24.52591153933744,58.38388988048857,Aravete Järva
25.036461823173482,58.65442493970679,Aravete Järva
25.015784655344028,58.566979449461876,Aravete Järva
25.029561172991777,58.659396308282396,Aravete Järva
25.036461823173482,58.65442493970679,Aravete Järva
