name,lng,lat
Aakre Valga,26.156788237152735,58.0846613458674
Aardla Tartu,26.8017146980522,58.305376629673844
Aarna Põlva,26.966251310856478,58.081710648737044
Aaspere Lääne-Viru,26.130748790252113,59.45267813133133
Abja Viljandi,25.3429986163856,58.10449982522517
Abja-Paluoja linn,25.353539709866514,58.130047257391325
Abruka Saare,22.507927222170554,58.14918362365004
Adavere Jõgeva,25.88753349548646,58.728439576617106
Adila-Pihali Rapla,24.606712696711188,59.12111204048697
Aegviidu alev,25.62019841813819,59.279457517538745
Ahja Põlva,27.06204057027651,58.20543953768208
Ahula Järva,25.755975681088,59.102976779491065
Ahunapalu Tartu,27.26216564885708,58.32896242384802
Aidu Ida-Viru,27.09210811048234,59.31801077835199
Aidu Jõgeva,26.192823131444424,58.74646159688926
Alajõe Ida-Viru,27.43027591833804,59.03216854491104
Alatskivi Tartu,27.12504656001061,58.58506201353079
Alavere Harju,25.341792118521173,59.25566095827064
Albu Järva,25.571063908915143,59.13174067143046
Alu Rapla,24.762495384467947,59.035706422227705
Ambla Järva,25.903860394367225,59.16309745444926
Andineeme Harju,25.545545889325798,59.51756211946927
Anija Harju,25.36473361285659,59.380868821649315
Anna Järva,25.587268495216215,59.01989194773123
Annikoru Tartu,26.289343166747653,58.27680069417966
Annikvere Lääne-Viru,26.144058548159784,59.501317314876296
Anseküla Saare,22.213382703081,58.086884167106234
Antsla linn,26.530083893863967,57.828079395865544
Antsla ümbrus Võru,26.573573667685228,57.80843843770567
Aravete Järva,25.779495881154958,59.140968390542135
Ardu Harju,25.388515955453236,59.078965873689576
Are Pärnu,24.58525847029046,58.530285321345836
Arkna Lääne-Viru,26.390998620629965,59.39438768260342
Aruküla Harju,25.07385816590724,59.35691682137926
Aruvälja Pärnu,24.120430126984154,58.46092279745368
Aseri Ida-Viru,26.878520237412893,59.445881420036876
Assamalla Lääne-Viru,26.25033500444448,59.225905206541285
Aste Saare,22.435993805988918,58.335016075678546
Asuküla Lääne,23.55470922650639,58.869548145276525
Atsalama Ida-Viru,27.376073516070957,59.231007200462926
Audla Saare,23.040886869187176,58.46233929052087
Audru Pärnu,24.353014438567598,58.41711899616524
Auvere Ida-Viru,27.936510508725238,59.31693165889643
Avinurme Ida-Viru,26.884283717127012,59.004864454822965
Edise Ida-Viru,27.376695900156463,59.37094508035337
Eidapere-Lokuta Rapla,24.966186474504838,58.7603384220678
Eikla Saare,22.506147455199816,58.43696481835525
Elistvere Jõgeva,26.660233230819106,58.57542210477149
Elva linn,26.419587144031315,58.226836374085025
Elva ümbruse kant Tartu,26.368641161643346,58.19607113264823
Emmaste Hiiu,22.59089260693184,58.719149778871426
Enge Pärnu,24.59904915099557,58.67783751229399
Erra alevik Ida-Viru,26.993337095152125,59.37588177669221
Erra-Liiva Ida-Viru,27.008337099091722,59.36262888473938
Ervita Järva,26.082842621679063,58.90005906469353
Esku Jõgeva,25.836993309795186,58.64234565945448
Essu Lääne-Viru,26.352396413877347,59.42180274419412
Haabersti linnaosa,24.623326464534355,59.42517812547466
Haage Tartu,26.546325188194697,58.35274758841088
Haamse-Hakjala Saare,22.42205017894693,58.40393477944355
Haanja Võru,27.084703792877654,57.70993597262864
Haapsalu linn,23.539598577521925,58.934012623242815
Habaja Harju,25.1552859641002,59.120913179630584
Haeska Lääne,23.671082448046107,58.80204811750089
Haeska Saare,22.640491495265156,58.4208711420887
Hageri Rapla,24.63946015702426,59.174688279028736
Hagudi Rapla,24.796978783349292,59.074183493254786
Haiba-Kernu Harju,24.483764639298847,59.13522091203092
Haimre-Kasti Rapla,24.510420370495204,58.87587535519441
Halinga Pärnu,24.52613847913311,58.57563349992606
Haljala Lääne-Viru,26.248877528156594,59.4355270902903
Haljava Harju,25.173305732148336,59.39344490857259
Halliku Jõgeva,26.915092856858283,58.70309729883966
Halliste Viljandi,25.403032443153872,58.1727334794704
Hanikase Põlva,27.407068484188198,57.87243409447985
Hargla Valga,26.404320153762416,57.60712387043431
