start_lon,end_lon,start_lat,end_lat,start,end
26.718024583611232,26.718024583611232,58.327738551112965,58.327738551112965,Ülenurme Tartu,Ülenurme Tartu
26.718024583611232,26.72850527915207,58.327738551112965,58.370075672253435,Ülenurme Tartu,Tartu linn
26.718024583611232,26.699604189177126,58.327738551112965,58.28722300008758,Ülenurme Tartu,Reola Tartu
26.718024583611232,26.65222358771177,58.327738551112965,58.35337229697161,Ülenurme Tartu,Räni Tartu
26.718024583611232,26.631873888378884,58.327738551112965,58.3209064235051,Ülenurme Tartu,Külitse Tartu
24.05636508282533,23.973607448828442,58.80066899046507,58.857696277972224,Üdruma Lääne,Liivi Lääne
24.05636508282533,24.05636508282533,58.80066899046507,58.80066899046507,Üdruma Lääne,Üdruma Lääne
24.05636508282533,24.10875427930128,58.80066899046507,58.85651922660488,Üdruma Lääne,Kullamaa Lääne
24.05636508282533,24.070239388592714,58.80066899046507,58.91839052180687,Üdruma Lääne,Koluvere Lääne
24.05636508282533,23.539598577521925,58.80066899046507,58.934012623242815,Üdruma Lääne,Haapsalu linn
26.15481018618797,26.15481018618797,57.930509236870066,57.930509236870066,Õru Valga,Õru Valga
26.15481018618797,26.070770430317978,57.930509236870066,57.77847672570749,Õru Valga,Valga linn
26.15481018618797,26.171361483793916,57.930509236870066,57.98001546876285,Õru Valga,Priipalu Valga
26.15481018618797,26.243876347958526,57.930509236870066,58.002898538142375,Õru Valga,Kuigatsi Valga
26.15481018618797,26.171877962129614,57.930509236870066,57.868530476509775,Õru Valga,Tsirguliina Valga
25.51307498257465,25.51307498257465,58.20810111857772,58.20810111857772,Õisu Viljandi,Õisu Viljandi
25.51307498257465,25.403032443153872,58.20810111857772,58.1727334794704,Õisu Viljandi,Halliste Viljandi
25.51307498257465,25.591268434882977,58.20810111857772,58.3599361623305,Õisu Viljandi,Viljandi linn
25.51307498257465,25.53071960898032,58.20810111857772,58.143063347825496,Õisu Viljandi,Polli Viljandi
25.51307498257465,25.615920421060583,58.20810111857772,58.25352779954945,Õisu Viljandi,Paistu Viljandi
24.511392121818016,24.511392121818016,59.240014040127974,59.240014040127974,Ääsmäe Harju,Ääsmäe Harju
24.511392121818016,24.764737777605827,59.240014040127974,59.429887212165966,Ääsmäe Harju,Kesklinna linnaosa
24.511392121818016,24.508141200363163,59.240014040127974,59.30493864719925,Ääsmäe Harju,Saue ümbruse Harju
24.511392121818016,24.393202301001427,59.240014040127974,59.31182579160131,Ääsmäe Harju,Keila linn
24.511392121818016,24.386432816842266,59.240014040127974,59.19796340183669,Ääsmäe Harju,Laitse-Ruila Harju
25.32507110669616,25.418952915094557,58.840548648054,58.808240910861635,Änari Järva,Türi linn
25.32507110669616,25.42495026393062,58.840548648054,58.813231894516306,Änari Järva,Türi Järva
25.32507110669616,25.259488372527223,58.840548648054,58.77843369048387,Änari Järva,Kolu Järva
25.32507110669616,25.556374598432086,58.840548648054,58.884989244248985,Änari Järva,Paide linn
25.32507110669616,25.451520601776163,58.840548648054,58.89770372899856,Änari Järva,Väätsa Järva
26.68603935627243,26.68603935627243,58.52934374196609,58.52934374196609,Äksi Tartu,Äksi Tartu
26.68603935627243,26.72850527915207,58.52934374196609,58.370075672253435,Äksi Tartu,Tartu linn
26.68603935627243,26.679829065310788,58.52934374196609,58.48572740977617,Äksi Tartu,Lähte Tartu
26.68603935627243,26.59922814772472,58.52934374196609,58.545601599829006,Äksi Tartu,Tabivere Jõgeva
26.68603935627243,26.56806476752797,58.52934374196609,58.49494421818667,Äksi Tartu,Kärkna Tartu
24.91202367771498,24.973585999612812,59.476559072194185,59.46525417275005,Äigrumäe Harju,Maardu linn
24.91202367771498,24.764737777605827,59.476559072194185,59.429887212165966,Äigrumäe Harju,Kesklinna linnaosa
24.91202367771498,24.862741687041055,59.476559072194185,59.47215628434966,Äigrumäe Harju,Pirita linnaosa
24.91202367771498,24.851802926400804,59.476559072194185,59.43387964278103,Äigrumäe Harju,Lasnamäe linnaosa
24.91202367771498,24.91202367771498,59.476559072194185,59.476559072194185,Äigrumäe Harju,Äigrumäe Harju
27.56055844517064,27.52575579579825,58.064943268495675,57.99592132999126,Võõpsu aleviku ümbrus Põlva,Mikitamäe Põlva
27.56055844517064,27.458557699809173,58.064943268495675,58.09982135267086,Võõpsu aleviku ümbrus Põlva,Räpina linn
27.56055844517064,27.459285935446367,58.064943268495675,58.08061398624331,Võõpsu aleviku ümbrus Põlva,Räpina ümbruse Põlva
27.56055844517064,27.56055844517064,58.064943268495675,58.064943268495675,Võõpsu aleviku ümbrus Põlva,Võõpsu aleviku ümbrus Põlva
27.56055844517064,27.628814373182962,58.064943268495675,57.94934175408899,Võõpsu aleviku ümbrus Põlva,Värska Põlva
27.535305074746496,27.458557699809173,58.0816402586074,58.09982135267086,Võõpsu Põlva,Räpina linn
27.535305074746496,27.459285935446367,58.0816402586074,58.08061398624331,Võõpsu Põlva,Räpina ümbruse Põlva
27.535305074746496,27.40534877250089,58.0816402586074,58.16429928049451,Võõpsu Põlva,Linte Põlva
27.535305074746496,27.535305074746496,58.0816402586074,58.0816402586074,Võõpsu Põlva,Võõpsu Põlva
27.535305074746496,27.07080399839404,58.0816402586074,58.0601590107706,Võõpsu Põlva,Põlva linn
27.132346986752562,26.72850527915207,58.36496130920997,58.370075672253435,Võõpste Tartu,Tartu linn
27.132346986752562,27.068731602941238,58.36496130920997,58.39880593070774,Võõpste Tartu,Kavastu Tartu
27.132346986752562,27.132346986752562,58.36496130920997,58.36496130920997,Võõpste Tartu,Võõpste Tartu
